1;1 - Cholera;1;0;1;1;1;1;1;0;0;0;1
2;2 - Typhoid Fever (due to Salmonella typhi);1;0;1;1;1;1;1;0;0;0;1
3;3 - Typhoid Fever (With Other Complications);1;0;1;1;1;1;1;0;0;0;1
4;4 - Typhoid Fever;1;0;1;1;1;1;1;0;0;0;1
5;5 - Salmonella enteritis;1;0;1;1;1;1;1;0;0;0;1
6;6 - Sepsis (Salmonella sepsis);1;0;1;1;1;1;1;0;0;0;1
7;7 - Salmonella infection, unspecified;1;0;1;1;1;1;1;0;0;0;1
8;8 - Diarrhea (Shigellosis due to Shigella dysenteriae);1;0;1;1;1;1;1;0;0;0;1
9;9 - Shigellosis (Shigellosis, unspecified);1;0;1;1;1;1;1;0;0;0;1
10;10 - Escherichia Coli Infection (Enterohaemorrhagic Escherichia coli infection);1;0;1;1;1;1;1;0;0;0;1
11;11 - Enteritis (Campylobacter enteritis);1;0;1;1;1;1;1;0;0;0;1
12;12 - Enteritis (Enteritis due to Yersinia enterocolitica);1;0;1;1;1;1;1;0;0;0;1
13;13 - Infection (Bacterial intestinal infection, unspecified);1;0;1;1;1;1;1;0;0;0;1
14;14 - Intoxications [Foodborne] (Foodborne staphylococcal intoxication);1;0;1;1;1;1;1;0;0;0;1
15;15 - Foodborne Clostridium perfringens [Clostridium welchii] intoxication;1;0;1;1;1;1;1;0;0;0;1
16;16 - Other specified bacterial foodborne intoxications;1;0;1;1;1;1;1;0;0;0;1
17;17 - Intoxication (Bacterial foodborne intoxication, unspecified);1;0;1;1;1;1;1;0;0;0;1
18;18 - Amoebiasis;1;0;1;1;1;1;1;0;0;0;1
19;19 - Amoebiasis (Acute amoebic dysentery);1;0;1;1;1;1;1;0;0;0;1
20;20 - Amoebiasis (Chronic intestinal amoebiasis);1;0;1;1;1;1;1;0;0;0;1
21;21 - Amoebiasis (Amoebic nondysenteric colitis);1;0;1;1;1;1;1;0;0;0;1
22;22 - Amoebiasis (Amoeboma of intestine);1;0;1;1;1;1;1;0;0;0;1
23;23 - Amebiasis (Amoebic lung abscess);1;0;1;1;1;1;1;0;0;0;1
24;24 - Amebiasis (Amoebic brain abscess);1;0;1;1;1;1;1;0;0;0;1
25;25 - Amebiasis (Amoebic infection of other sites);1;0;1;1;1;1;1;0;0;0;1
26;26 - Giardiasis (Giardiasis [lambliasis]);1;0;1;1;1;1;1;0;0;0;1
27;27 - Cryptosporidiosis;1;0;1;1;1;1;1;0;0;0;1
28;28 - Acute gastroenteropathy due to Norwalk agent;1;0;1;1;1;1;1;0;0;0;1
29;29 - Enteritis (Other viral enteritis);1;0;1;1;1;1;1;0;0;0;1
30;30 - Viral intestinal infection, unspecified;1;0;1;1;1;1;1;0;0;0;1
